Pair,AltName,BaseCurrency,QuoteCurrency,TakerFee%,MakerFee%
1INCHEUR,1INCHEUR,1INCH,ZEUR,0.4,0.25
1INCHUSD,1INCHUSD,1INCH,ZUSD,0.4,0.25
AAVEETH,AAVEETH,AAVE,XETH,0.4,0.25
AAVEEUR,AAVEEUR,AAVE,ZEUR,0.4,0.25
AAVEGBP,AAVEGBP,AAVE,ZGBP,0.4,0.25
AAVEUSD,AAVEUSD,AAVE,ZUSD,0.4,0.25
AAVEXBT,AAVEXBT,AAVE,XXBT,0.4,0.25
ACAEUR,ACAEUR,ACA,ZEUR,0.4,0.25
ACAUSD,ACAUSD,ACA,ZUSD,0.4,0.25
ACHEUR,ACHEUR,ACH,ZEUR,0.4,0.25
ACHUSD,ACHUSD,ACH,ZUSD,0.4,0.25
ADAAUD,ADAAUD,ADA,ZAUD,0.4,0.25
ADAETH,ADAETH,ADA,XETH,0.4,0.25
ADAEUR,ADAEUR,ADA,ZEUR,0.4,0.25
ADAGBP,ADAGBP,ADA,ZGBP,0.4,0.25
ADAUSD,ADAUSD,ADA,ZUSD,0.4,0.25
ADAUSDC,ADAUSDC,ADA,USDC,0.4,0.25
ADAUSDT,ADAUSDT,ADA,USDT,0.4,0.25
ADAXBT,ADAXBT,ADA,XXBT,0.4,0.25
ADXEUR,ADXEUR,ADX,ZEUR,0.4,0.25
ADXUSD,ADXUSD,ADX,ZUSD,0.4,0.25
AEVOEUR,AEVOEUR,AEVO,ZEUR,0.4,0.25
AEVOUSD,AEVOUSD,AEVO,ZUSD,0.4,0.25
AGLDEUR,AGLDEUR,AGLD,ZEUR,0.4,0.25
AGLDUSD,AGLDUSD,AGLD,ZUSD,0.4,0.25
AIREUR,AIREUR,AIR,ZEUR,0.4,0.25
AIRUSD,AIRUSD,AIR,ZUSD,0.4,0.25
AKTEUR,AKTEUR,AKT,ZEUR,0.4,0.25
AKTUSD,AKTUSD,AKT,ZUSD,0.4,0.25
ALCXEUR,ALCXEUR,ALCX,ZEUR,0.4,0.25
ALCXUSD,ALCXUSD,ALCX,ZUSD,0.4,0.25
ALGOETH,ALGOETH,ALGO,XETH,0.4,0.25
ALGOEUR,ALGOEUR,ALGO,ZEUR,0.4,0.25
ALGOGBP,ALGOGBP,ALGO,ZGBP,0.4,0.25
ALGOUSD,ALGOUSD,ALGO,ZUSD,0.4,0.25
ALGOUSDC,ALGOUSDC,ALGO,USDC,0.4,0.25
ALGOUSDT,ALGOUSDT,ALGO,USDT,0.4,0.25
ALGOXBT,ALGOXBT,ALGO,XXBT,0.4,0.25
ALICEEUR,ALICEEUR,ALICE,ZEUR,0.4,0.25
ALICEUSD,ALICEUSD,ALICE,ZUSD,0.4,0.25
ALPHAEUR,ALPHAEUR,ALPHA,ZEUR,0.4,0.25
ALPHAUSD,ALPHAUSD,ALPHA,ZUSD,0.4,0.25
ALTEUR,ALTEUR,ALT,ZEUR,0.4,0.25
ALTUSD,ALTUSD,ALT,ZUSD,0.4,0.25
ANKREUR,ANKREUR,ANKR,ZEUR,0.4,0.25
ANKRUSD,ANKRUSD,ANKR,ZUSD,0.4,0.25
ANKRXBT,ANKRXBT,ANKR,XXBT,0.4,0.25
APEEUR,APEEUR,APE,ZEUR,0.4,0.25
APEUSD,APEUSD,APE,ZUSD,0.4,0.25
APEUSDC,APEUSDC,APE,USDC,0.4,0.25
APEUSDT,APEUSDT,APE,USDT,0.4,0.25
API3EUR,API3EUR,API3,ZEUR,0.4,0.25
API3USD,API3USD,API3,ZUSD,0.4,0.25
APTEUR,APTEUR,APT,ZEUR,0.4,0.25
APTUSD,APTUSD,APT,ZUSD,0.4,0.25
APUEUR,APUEUR,APU,ZEUR,0.4,0.25
APUUSD,APUUSD,APU,ZUSD,0.4,0.25
ARBEUR,ARBEUR,ARB,ZEUR,0.4,0.25
ARBUSD,ARBUSD,ARB,ZUSD,0.4,0.25
ARKMEUR,ARKMEUR,ARKM,ZEUR,0.4,0.25
ARKMUSD,ARKMUSD,ARKM,ZUSD,0.4,0.25
ARPAEUR,ARPAEUR,ARPA,ZEUR,0.4,0.25
ARPAUSD,ARPAUSD,ARPA,ZUSD,0.4,0.25
ASTREUR,ASTREUR,ASTR,ZEUR,0.4,0.25
ASTRUSD,ASTRUSD,ASTR,ZUSD,0.4,0.25
ATHEUR,ATHEUR,ATH,ZEUR,0.4,0.25
ATHUSD,ATHUSD,ATH,ZUSD,0.4,0.25
ATLASEUR,ATLASEUR,ATLAS,ZEUR,0.4,0.25
ATLASUSD,ATLASUSD,ATLAS,ZUSD,0.4,0.25
ATOMETH,ATOMETH,ATOM,XETH,0.4,0.25
ATOMEUR,ATOMEUR,ATOM,ZEUR,0.4,0.25
ATOMGBP,ATOMGBP,ATOM,ZGBP,0.4,0.25
ATOMUSD,ATOMUSD,ATOM,ZUSD,0.4,0.25
ATOMUSDC,ATOMUSDC,ATOM,USDC,0.4,0.25
ATOMUSDT,ATOMUSDT,ATOM,USDT,0.4,0.25
ATOMXBT,ATOMXBT,ATOM,XXBT,0.4,0.25
AUCTIONEUR,AUCTIONEUR,AUCTION,ZEUR,0.4,0.25
AUCTIONUSD,AUCTIONUSD,AUCTION,ZUSD,0.4,0.25
AUDIOEUR,AUDIOEUR,AUDIO,ZEUR,0.4,0.25
AUDIOUSD,AUDIOUSD,AUDIO,ZUSD,0.4,0.25
AUDJPY,AUDJPY,ZAUD,ZJPY,0.2,0.2
AUDUSD,AUDUSD,ZAUD,ZUSD,0.2,0.2
AVAXEUR,AVAXEUR,AVAX,ZEUR,0.4,0.25
AVAXUSD,AVAXUSD,AVAX,ZUSD,0.4,0.25
AVAXUSDC,AVAXUSDC,AVAX,USDC,0.4,0.25
AVAXUSDT,AVAXUSDT,AVAX,USDT,0.4,0.25
AXSEUR,AXSEUR,AXS,ZEUR,0.4,0.25
AXSUSD,AXSUSD,AXS,ZUSD,0.4,0.25
BADGEREUR,BADGEREUR,BADGER,ZEUR,0.4,0.25
BADGERUSD,BADGERUSD,BADGER,ZUSD,0.4,0.25
BALEUR,BALEUR,BAL,ZEUR,0.4,0.25
BALUSD,BALUSD,BAL,ZUSD,0.4,0.25
BANDEUR,BANDEUR,BAND,ZEUR,0.4,0.25
BANDUSD,BANDUSD,BAND,ZUSD,0.4,0.25
BATEUR,BATEUR,BAT,ZEUR,0.4,0.25
BATUSD,BATUSD,BAT,ZUSD,0.4,0.25
BCHAUD,BCHAUD,BCH,ZAUD,0.4,0.25
